time	V(n002)
0,00E+00	0,00E+00
1,00E-09	4,55E-09
2,00E-09	9,09E-09
2,81E-03	1,27E-02
5,62E-03	2,52E-02
8,43E-03	3,76E-02
1,12E-02	4,98E-02
1,41E-02	6,18E-02
1,69E-02	7,38E-02
1,97E-02	8,55E-02
2,55E-02	1,10E-01
3,14E-02	1,33E-01
3,73E-02	1,56E-01
4,42E-02	1,82E-01
5,12E-02	2,07E-01
5,82E-02	2,32E-01
6,52E-02	2,56E-01
7,21E-02	2,79E-01
7,91E-02	3,02E-01
8,61E-02	3,23E-01
9,58E-02	3,53E-01
1,06E-01	3,81E-01
1,15E-01	4,07E-01
1,25E-01	4,33E-01
1,35E-01	4,58E-01
1,45E-01	4,81E-01
1,54E-01	5,03E-01
1,68E-01	5,32E-01
1,81E-01	5,60E-01
1,95E-01	5,86E-01
2,08E-01	6,10E-01
2,21E-01	6,33E-01
2,35E-01	6,55E-01
2,48E-01	6,75E-01
2,68E-01	7,03E-01
2,88E-01	7,28E-01
3,08E-01	7,52E-01
3,29E-01	7,74E-01
3,49E-01	7,94E-01
3,69E-01	8,12E-01
3,89E-01	8,28E-01
4,09E-01	8,43E-01
4,30E-01	8,56E-01
4,50E-01	8,69E-01
4,70E-01	8,81E-01
4,91E-01	8,91E-01
5,11E-01	9,01E-01
5,31E-01	9,09E-01
5,52E-01	9,17E-01
5,73E-01	9,25E-01
5,93E-01	9,31E-01
6,14E-01	9,38E-01
6,35E-01	9,43E-01
6,55E-01	9,48E-01
6,76E-01	9,53E-01
6,97E-01	9,57E-01
7,18E-01	9,61E-01
7,39E-01	9,64E-01
7,60E-01	9,68E-01
7,81E-01	9,71E-01
8,01E-01	9,73E-01
8,22E-01	9,76E-01
8,44E-01	9,78E-01
8,66E-01	9,80E-01
8,88E-01	9,82E-01
9,09E-01	9,84E-01
9,31E-01	9,85E-01
9,53E-01	9,87E-01
9,75E-01	9,88E-01
9,98E-01	9,89E-01
1,02E+00	9,90E-01
1,05E+00	9,91E-01
1,07E+00	9,92E-01
1,09E+00	9,93E-01
1,12E+00	9,94E-01
1,14E+00	9,94E-01
1,17E+00	9,95E-01
1,19E+00	9,95E-01
1,22E+00	9,96E-01
1,24E+00	9,96E-01
1,27E+00	9,97E-01
1,30E+00	9,97E-01
1,32E+00	9,97E-01
1,35E+00	9,98E-01
1,39E+00	9,98E-01
1,42E+00	9,98E-01
1,45E+00	9,99E-01
1,48E+00	9,99E-01
1,52E+00	9,99E-01
1,55E+00	9,99E-01
1,59E+00	9,99E-01
1,64E+00	9,99E-01
1,69E+00	9,99E-01
1,73E+00	1,00E+00
1,78E+00	1,00E+00
1,82E+00	1,00E+00
1,87E+00	1,00E+00
1,96E+00	1,00E+00
2,00E+00	1,00E+00
2,00E+00	1,00E+00
