time	V(n001)
0,00E+00	0,00E+00
1,00E-09	1,00E+00
2,00E-09	1,00E+00
1,16E-03	1,00E+00
2,31E-03	1,00E+00
3,47E-03	1,00E+00
4,63E-03	1,00E+00
5,79E-03	1,00E+00
6,94E-03	1,00E+00
8,10E-03	1,00E+00
1,20E-02	1,00E+00
1,59E-02	1,00E+00
1,98E-02	1,00E+00
2,37E-02	1,00E+00
2,76E-02	1,00E+00
3,15E-02	1,00E+00
3,54E-02	1,00E+00
4,33E-02	1,00E+00
5,11E-02	1,00E+00
5,89E-02	1,00E+00
6,67E-02	1,00E+00
7,84E-02	1,00E+00
9,01E-02	1,00E+00
1,02E-01	1,00E+00
1,12E-01	1,00E+00
1,23E-01	1,00E+00
1,34E-01	1,00E+00
1,44E-01	1,00E+00
1,55E-01	1,00E+00
1,65E-01	1,00E+00
1,76E-01	1,00E+00
1,91E-01	1,00E+00
2,05E-01	1,00E+00
2,20E-01	1,00E+00
2,34E-01	1,00E+00
2,49E-01	1,00E+00
2,63E-01	1,00E+00
2,78E-01	1,00E+00
2,98E-01	1,00E+00
3,18E-01	1,00E+00
3,38E-01	1,00E+00
3,58E-01	1,00E+00
3,78E-01	1,00E+00
3,98E-01	1,00E+00
4,18E-01	1,00E+00
4,38E-01	1,00E+00
4,58E-01	1,00E+00
4,79E-01	1,00E+00
4,99E-01	1,00E+00
5,19E-01	1,00E+00
5,39E-01	1,00E+00
5,59E-01	1,00E+00
5,80E-01	1,00E+00
6,00E-01	1,00E+00
6,21E-01	1,00E+00
6,41E-01	1,00E+00
6,62E-01	1,00E+00
6,83E-01	1,00E+00
7,03E-01	1,00E+00
7,25E-01	1,00E+00
7,46E-01	1,00E+00
7,67E-01	1,00E+00
7,88E-01	1,00E+00
8,09E-01	1,00E+00
8,31E-01	1,00E+00
8,52E-01	1,00E+00
8,74E-01	1,00E+00
8,95E-01	1,00E+00
9,17E-01	1,00E+00
9,39E-01	1,00E+00
9,61E-01	1,00E+00
9,82E-01	1,00E+00
1,00E+00	1,00E+00
1,03E+00	1,00E+00
1,05E+00	1,00E+00
1,07E+00	1,00E+00
1,10E+00	1,00E+00
1,12E+00	1,00E+00
1,14E+00	1,00E+00
1,17E+00	1,00E+00
1,20E+00	1,00E+00
1,22E+00	1,00E+00
1,25E+00	1,00E+00
1,28E+00	1,00E+00
1,30E+00	1,00E+00
1,33E+00	1,00E+00
1,36E+00	1,00E+00
1,39E+00	1,00E+00
1,42E+00	1,00E+00
1,46E+00	1,00E+00
1,49E+00	1,00E+00
1,52E+00	1,00E+00
1,56E+00	1,00E+00
1,59E+00	1,00E+00
1,64E+00	1,00E+00
1,69E+00	1,00E+00
1,74E+00	1,00E+00
1,78E+00	1,00E+00
1,83E+00	1,00E+00
1,88E+00	1,00E+00
1,93E+00	1,00E+00
2,00E+00	1,00E+00
2,00E+00	1,00E+00
2,00E+00	0,00E+00
2,01E+00	0,00E+00
2,01E+00	0,00E+00
2,02E+00	0,00E+00
2,02E+00	0,00E+00
2,02E+00	0,00E+00
2,03E+00	0,00E+00
2,03E+00	0,00E+00
2,04E+00	0,00E+00
2,04E+00	0,00E+00
2,05E+00	0,00E+00
2,06E+00	0,00E+00
2,07E+00	0,00E+00
2,08E+00	0,00E+00
2,09E+00	0,00E+00
2,10E+00	0,00E+00
2,11E+00	0,00E+00
2,12E+00	0,00E+00
2,13E+00	0,00E+00
2,14E+00	0,00E+00
2,15E+00	0,00E+00
2,16E+00	0,00E+00
2,17E+00	0,00E+00
2,19E+00	0,00E+00
2,20E+00	0,00E+00
2,21E+00	0,00E+00
2,23E+00	0,00E+00
2,24E+00	0,00E+00
2,26E+00	0,00E+00
2,27E+00	0,00E+00
2,29E+00	0,00E+00
2,31E+00	0,00E+00
2,33E+00	0,00E+00
2,35E+00	0,00E+00
2,37E+00	0,00E+00
2,39E+00	0,00E+00
2,41E+00	0,00E+00
2,43E+00	0,00E+00
2,45E+00	0,00E+00
2,47E+00	0,00E+00
2,49E+00	0,00E+00
2,51E+00	0,00E+00
2,53E+00	0,00E+00
2,55E+00	0,00E+00
2,57E+00	0,00E+00
2,59E+00	0,00E+00
2,61E+00	0,00E+00
2,63E+00	0,00E+00
2,65E+00	0,00E+00
2,67E+00	0,00E+00
2,70E+00	0,00E+00
2,72E+00	0,00E+00
2,74E+00	0,00E+00
2,76E+00	0,00E+00
2,78E+00	0,00E+00
2,80E+00	0,00E+00
2,82E+00	0,00E+00
2,84E+00	0,00E+00
2,87E+00	0,00E+00
2,89E+00	0,00E+00
2,91E+00	0,00E+00
2,93E+00	0,00E+00
2,95E+00	0,00E+00
2,97E+00	0,00E+00
3,00E+00	0,00E+00
3,02E+00	0,00E+00
3,04E+00	0,00E+00
3,07E+00	0,00E+00
3,09E+00	0,00E+00
3,11E+00	0,00E+00
3,14E+00	0,00E+00
3,16E+00	0,00E+00
3,19E+00	0,00E+00
3,21E+00	0,00E+00
3,24E+00	0,00E+00
3,27E+00	0,00E+00
3,29E+00	0,00E+00
3,32E+00	0,00E+00
3,35E+00	0,00E+00
3,38E+00	0,00E+00
3,41E+00	0,00E+00
3,45E+00	0,00E+00
3,48E+00	0,00E+00
3,51E+00	0,00E+00
3,55E+00	0,00E+00
3,58E+00	0,00E+00
3,63E+00	0,00E+00
3,67E+00	0,00E+00
3,72E+00	0,00E+00
3,77E+00	0,00E+00
3,81E+00	0,00E+00
3,86E+00	0,00E+00
3,91E+00	0,00E+00
3,91E+00	0,00E+00
4,00E+00	0,00E+00
4,00E+00	0,00E+00
